"Rushville, NB",1,225,0.44%
"Sacramento, CA",1,225,0.44%
"San Antonio, TX",1,225,0.44%
"San Jacinto, CA",1,225,0.44%
"San JOse, CA",1,225,0.44%
"Sherman Oaks, CA",1,225,0.44%
"Sherrill, NY",1,225,0.44%
"Smithtown, NY",1,225,0.44%
"Snoqualmie, WA",1,225,0.44%
"Sparks, NV",1,225,0.44%
"Suwanee, GA",1,225,0.44%
"Tampa, FL",1,225,0.44%
"Taos, NM",1,225,0.44%
"Temecula, CA",1,225,0.44%
"Tempe, ",1,225,0.44%
"Thousand Oaks, CA",1,225,0.44%
"Urbana, IL",1,225,0.44%
"Victorville, CA",1,225,0.44%
"Walla Walla, WA",1,225,0.44%
"Walnut, CA",1,225,0.44%
"Warren, OH",1,225,0.44%
"Wheaton, IL",1,225,0.44%
"Windermere, FL",1,225,0.44%
"Yakima, WA",1,225,0.44%
"Yukon, OK",1,225,0.44%
